"mes_id","geo_id","name","smooth"
29,1,"State",0
NA,1,"State",0
30,1,"State",0
35,1,"State",0
36,1,"State",0
45,1,"State",0
46,1,"State",0
47,1,"State",0
48,1,"State",0
49,1,"State",0
50,1,"State",0
55,1,"State",0
56,1,"State",0
57,1,"State",0
58,1,"State",0
59,1,"State",0
60,1,"State",0
61,1,"State",0
62,1,"State",0
63,1,"State",0
64,1,"State",0
65,1,"State",0
66,1,"State",0
67,1,"State",0
68,1,"State",0
69,1,"State",0
70,1,"State",0
71,1,"State",0
72,1,"State",0
73,1,"State",0
74,1,"State",0
75,1,"State",0
76,1,"State",0
77,1,"State",0
78,1,"State",0
79,1,"State",0
80,1,"State",0
81,1,"State",0
82,1,"State",0
89,1,"State",0
90,1,"State",0
93,1,"State",0
94,1,"State",0
95,1,"State",0
96,1,"State",0
97,1,"State",0
98,1,"State",0
99,1,"State",0
101,1,"State",0
103,1,"State",0
104,1,"State",0
106,1,"State",0
108,1,"State",0
117,1,"State",0
118,1,"State",0
119,1,"State",0
120,1,"State",0
121,1,"State",0
122,1,"State",0
129,1,"State",0
221,1,"State",0
222,1,"State",0
223,1,"State",0
224,1,"State",0
225,1,"State",0
226,1,"State",0
229,1,"State",0
230,1,"State",0
231,1,"State",0
232,1,"State",0
233,1,"State",0
234,1,"State",0
274,1,"State",0
275,1,"State",0
276,1,"State",0
277,1,"State",0
278,1,"State",0
279,1,"State",0
280,1,"State",0
281,1,"State",0
284,1,"State",0
285,1,"State",0
286,1,"State",0
287,1,"State",0
290,1,"State",0
291,1,"State",0
324,1,"State",0
326,1,"State",0
327,1,"State",0
328,1,"State",0
329,1,"State",0
330,1,"State",0
333,1,"State",0
334,1,"State",0
335,1,"State",0
336,1,"State",0
337,1,"State",0
338,1,"State",0
339,1,"State",0
344,1,"State",0
345,1,"State",0
356,1,"State",0
370,1,"State",0
373,1,"State",0
374,1,"State",0
375,1,"State",0
376,1,"State",0
377,1,"State",0
378,1,"State",0
379,1,"State",0
380,1,"State",0
381,1,"State",0
382,1,"State",0
383,1,"State",0
384,1,"State",0
385,1,"State",0
386,1,"State",0
387,1,"State",0
388,1,"State",0
389,1,"State",0
390,1,"State",0
391,1,"State",0
392,1,"State",0
393,1,"State",0
394,1,"State",0
395,1,"State",0
413,1,"State",0
414,1,"State",0
415,1,"State",0
416,1,"State",0
418,1,"State",0
420,1,"State",0
422,1,"State",0
427,1,"State",0
428,1,"State",0
434,1,"State",0
436,1,"State",0
437,1,"State",0
477,1,"State",0
478,1,"State",0
479,1,"State",0
480,1,"State",0
481,1,"State",0
482,1,"State",0
483,1,"State",0
484,1,"State",0
485,1,"State",0
486,1,"State",0
487,1,"State",0
488,1,"State",0
489,1,"State",0
490,1,"State",0
491,1,"State",0
492,1,"State",0
493,1,"State",0
494,1,"State",0
495,1,"State",0
496,1,"State",0
497,1,"State",0
498,1,"State",0
499,1,"State",0
500,1,"State",0
505,1,"State",0
506,1,"State",0
507,1,"State",0
508,1,"State",0
509,1,"State",0
510,1,"State",0
511,1,"State",0
512,1,"State",0
513,1,"State",0
514,1,"State",0
515,1,"State",0
516,1,"State",0
517,1,"State",0
518,1,"State",0
519,1,"State",0
520,1,"State",0
521,1,"State",0
523,1,"State",0
525,1,"State",0
526,1,"State",0
527,1,"State",0
528,1,"State",0
529,1,"State",0
530,1,"State",0
531,1,"State",0
532,1,"State",0
538,1,"State",0
539,1,"State",0
540,1,"State",0
541,1,"State",0
545,1,"State",0
546,1,"State",0
547,1,"State",0
548,1,"State",0
549,1,"State",0
550,1,"State",0
551,1,"State",0
552,1,"State",0
553,1,"State",0
554,1,"State",0
555,1,"State",0
556,1,"State",0
557,1,"State",0
558,1,"State",0
559,1,"State",0
560,1,"State",0
561,1,"State",0
562,1,"State",0
563,1,"State",0
564,1,"State",0
573,1,"State",0
574,1,"State",0
575,1,"State",0
585,1,"State",0
586,1,"State",0
587,1,"State",0
588,1,"State",0
589,1,"State",0
590,1,"State",0
591,1,"State",0
29,2,"County",0
NA,2,"County",0
30,2,"County",1
35,2,"County",0
36,2,"County",1
45,2,"County",0
46,2,"County",1
89,2,"County",0
90,2,"County",0
93,2,"County",0
94,2,"County",0
99,2,"County",0
101,2,"County",1
103,2,"County",1
104,2,"County",0
106,2,"County",1
108,2,"County",1
324,2,"County",0
326,2,"County",0
327,2,"County",0
328,2,"County",0
329,2,"County",0
330,2,"County",0
331,2,"County",0
332,2,"County",0
413,2,"County",0
414,2,"County",0
415,2,"County",0
416,2,"County",0
427,2,"County",0
428,2,"County",0
434,2,"County",0
436,2,"County",1
437,2,"County",1
497,2,"County",0
498,2,"County",0
499,2,"County",0
500,2,"County",0
538,2,"County",0
539,2,"County",0
545,2,"County",0
546,2,"County",0
547,2,"County",0
548,2,"County",0
549,2,"County",0
550,2,"County",1
551,2,"County",1
552,2,"County",0
553,2,"County",1
554,2,"County",1
555,2,"County",0
556,2,"County",0
557,2,"County",0
558,2,"County",0
559,2,"County",0
237,1,"State",0
238,1,"State",0
239,1,"State",0
240,1,"State",0
241,1,"State",0
242,1,"State",0
243,1,"State",0
244,1,"State",0
245,1,"State",0
246,1,"State",0
249,1,"State",0
250,1,"State",0
251,1,"State",0
252,1,"State",0
253,1,"State",0
254,1,"State",0
259,1,"State",0
260,1,"State",0
261,1,"State",0
262,1,"State",0
237,2,"County",0
238,2,"County",1
239,2,"County",0
240,2,"County",1
241,2,"County",0
242,2,"County",1
243,2,"County",0
244,2,"County",1
245,2,"County",0
